"File","Path","Size","Modified Time","Access Time","Created Time","SHA512","Owner","Group","Mode"
"gladiatr.zip","./ROMs/gladiatr.zip","391530","Wed Apr 18 07:59:02 2012","Sun Feb 11 16:55:03 2018","Sun Feb 11 16:40:37 2018","C2EEECEF7D5EB0946E9B299AC8F6851FBF877E0A514F905E66EEB4F0D5CD3FFE8D79301C6EF6A8796008E860B2D5CE033988D93F54525B7297237CE4DD5C54E9","501","20","33188"
"scontra.zip","./ROMs/scontra.zip","1294103","Sat Jan  2 10:19:48 2010","Sun Feb 11 16:55:03 2018","Sun Feb 11 16:40:37 2018","2C83052963338DF54838EB2F14E1006FF1A015D52B50B72E5B9E625CEC8553E394A7E2D8E7C8B8C39103A36D9956D8BD6C4CD007DA5AC74BBB2E31E7AB25B351","501","20","33261"
"sf2.zip","./ROMs/sf2.zip","6031476","Sat Jan 23 19:27:18 2010","Sun Feb 11 16:55:03 2018","Sun Feb 11 16:40:37 2018","5F27301E926699BAA8BC234FEF58B1AB584895B4EA21602C331BF5288BDB8804150C8A39F6437BD7127EECCC2E30BEEE4B3308367BAC03271E6DA559BDBA1657","501","20","33261"
"swtrilgy.zip","./ROMs/swtrilgy.zip","71464436","Wed Nov 23 05:02:37 2011","Sun Feb 11 16:55:03 2018","Sun Feb 11 16:40:40 2018","2F6B1B949BBAE2C0F54BD0C92021A3AA5457CF7C3496F853F06FFBB9834C0B702B6474E3DE40FEA1ED9619FFFEC5CBDD19361E8716433E2C95D63658BD340790","501","20","33188"
"vf2.zip","./ROMs/vf2.zip","20380590","Mon Dec 21 23:15:24 2009","Sun Feb 11 16:55:04 2018","Sun Feb 11 16:40:41 2018","010D122B1DDD2D66B8A4A75E630523CA3F8472FD4629E3359CBBD9B3E938FCCB6C0DCD604DE970DD6A57AF072EADD3A224F2AD465E188491C179001CE7BA7721","501","20","33261"
